Euclidean distance to entrance (meter),Euclidean distance to source of daylight (meter),CO2 Levels in PPM * 0.001
47.78,4.50,396.078
46.84,4.50,396.078
45.92,4.50,388.235
45.04,4.50,388.235
44.23,4.50,384.314
43.70,4.50,384.314
43.23,4.50,372.549
41.86,4.50,372.549
37.04,4.50,341.176
36.13,4.50,333.333
35.23,4.50,333.333
34.38,4.50,321.569
33.63,4.50,321.569
33.15,4.50,309.804
32.88,4.50,309.804
27.64,4.50,321.569
26.77,4.50,329.412
25.93,4.50,329.412
25.12,4.50,333.333
24.39,4.50,333.333
23.72,4.50,341.176
23.18,4.50,341.176
22.97,4.50,360.784
21.57,4.50,423.529
21.56,4.50,423.529
21.66,4.50,443.137
21.81,4.50,443.137
22.01,4.50,439.216
22.24,4.50,439.216
22.52,4.50,435.294
22.86,4.50,435.294
24.85,4.50,423.529
25.06,4.50,431.373
25.61,4.50,431.373
26.28,4.50,462.745
27.01,4.50,462.745
27.80,4.50,501.961
28.64,4.50,501.961
29.51,4.50,529.412
30.40,4.50,529.412
31.30,4.50,549.02
32.22,4.50,549.02
37.86,4.50,564.706
38.13,4.50,560.784
38.59,4.50,560.784
39.22,4.50,533.333
40.06,4.50,533.333
40.95,4.50,494.118
41.87,4.50,494.118
42.80,3.50,458.824
43.75,2.50,458.824
44.70,1.50,443.137
63.33,1.50,654.902
62.36,2.50,654.902
61.39,3.50,611.765
60.42,4.50,611.765
59.47,5.50,568.627
58.52,5.50,568.627
57.60,5.50,533.333
56.72,5.50,533.333
55.94,5.50,505.882
55.46,5.50,505.882
50.39,5.50,450.98
49.41,5.50,427.451
48.44,5.50,427.451
47.47,5.50,411.765
46.51,5.50,411.765
45.55,5.50,403.922
44.61,5.50,403.922
43.69,5.50,392.157
42.80,5.50,392.157
42.00,5.50,372.549
41.55,5.50,372.549
36.68,5.50,356.863
35.73,5.50,356.863
34.80,5.50,356.863
33.88,5.50,349.02
32.99,5.50,349.02
32.19,5.50,337.255
31.75,5.50,337.255
27.17,5.50,345.098
26.28,5.50,352.941
25.39,5.50,352.941
24.53,5.50,352.941
23.71,5.50,352.941
22.97,5.50,360.784
22.32,5.50,360.784
21.97,5.50,388.235
20.59,5.50,458.824
20.56,5.50,458.824
20.67,5.50,482.353
20.83,5.50,482.353
21.03,5.50,474.51
21.27,5.50,474.51
21.56,5.50,458.824
21.93,5.50,458.824
23.84,5.50,439.216
24.20,5.50,447.059
24.86,5.50,447.059
25.60,5.50,466.667
26.40,5.50,466.667
27.26,5.50,494.118
28.15,5.50,494.118
29.06,5.50,525.49
29.97,5.50,525.49
30.90,5.50,552.941
31.84,5.50,552.941
36.57,5.50,568.627
37.02,5.50,549.02
37.82,5.50,549.02
38.71,5.50,517.647
39.63,5.50,517.647
40.57,5.50,482.353
41.52,4.50,482.353
42.48,3.50,447.059
43.45,2.50,447.059
44.42,1.50,439.216
63.14,1.50,654.902
62.16,2.50,654.902
61.17,3.50,611.765
60.18,4.50,611.765
59.20,5.50,568.627
58.22,6.50,568.627
57.25,6.50,533.333
56.29,6.50,533.333
55.36,6.50,505.882
54.49,6.50,505.882
50.20,6.50,450.98
49.21,6.50,427.451
48.22,6.50,427.451
47.24,6.50,411.765
46.25,6.50,411.765
45.27,6.50,403.922
44.29,6.50,403.922
43.33,6.50,392.157
42.37,6.50,392.157
41.44,6.50,372.549
40.58,6.50,372.549
36.39,6.50,356.863
35.42,6.50,356.863
34.46,6.50,356.863
33.50,6.50,349.02
32.55,6.50,349.02
31.62,6.26,337.255
30.76,5.85,337.255
26.77,5.50,345.098
25.84,5.50,352.941
24.92,5.50,352.941
24.02,5.50,352.941
23.14,5.50,352.941
22.30,5.50,360.784
21.56,5.50,360.784
20.92,5.50,388.235
19.53,5.59,458.824
19.56,5.85,458.824
19.67,6.26,482.353
19.84,6.50,482.353
20.05,6.50,474.51
20.31,6.50,474.51
20.60,6.50,458.824
20.95,6.50,458.824
22.80,6.50,439.216
23.45,6.50,447.059
24.19,6.50,447.059
25.01,6.50,466.667
25.90,6.50,466.667
26.80,6.50,494.118
27.73,6.50,494.118
28.66,6.50,525.49
29.60,6.50,525.49
30.55,6.50,552.941
31.50,6.50,552.941
35.60,6.50,568.627
36.46,6.50,549.02
37.38,6.50,549.02
38.34,6.50,517.647
39.30,6.50,517.647
40.28,5.50,482.353
41.25,4.50,482.353
42.23,3.50,447.059
43.21,2.50,447.059
44.19,1.50,439.216
63.02,1.50,643.137
62.03,2.50,643.137
61.03,3.50,600
60.04,4.50,600
59.04,5.50,568.627
58.05,6.50,568.627
57.05,7.50,545.098
56.06,7.50,545.098
55.07,7.50,521.569
54.08,7.50,521.569
53.12,7.50,486.275
52.14,7.91,486.275
51.08,7.50,454.902
50.07,7.50,454.902
49.07,7.50,439.216
48.08,7.50,439.216
47.08,7.50,431.373
46.09,7.50,431.373
45.09,7.50,419.608
44.10,7.50,419.608
43.11,7.50,396.078
42.12,7.50,396.078
41.13,7.50,376.471
40.15,7.50,376.471
39.19,7.50,364.706
38.23,7.91,364.706
37.18,7.50,368.627
36.18,7.50,368.627
35.19,7.50,372.549
34.21,7.50,372.549
33.23,6.73,368.627
32.25,6.02,368.627
31.27,5.41,356.863
30.30,4.92,356.863
29.36,4.61,356.863
28.42,4.50,356.863
27.40,4.50,364.706
26.43,4.50,364.706
25.47,4.50,364.706
24.53,4.50,364.706
23.59,4.50,368.627
22.67,4.50,368.627
21.76,4.50,376.471
20.90,4.50,376.471
20.14,4.50,407.843
19.52,4.50,407.843
19.03,4.50,447.059
18.68,4.50,447.059
18.52,4.61,486.275
18.56,4.92,486.275
18.68,5.41,509.804
18.86,6.02,509.804
19.08,6.73,505.882
19.35,7.50,505.882
19.65,7.50,486.275
20.00,7.50,486.275
20.39,7.50,470.588
20.86,7.91,470.588
21.40,7.50,462.745
22.04,7.50,462.745
22.79,7.50,474.51
23.64,7.50,474.51
24.55,7.50,486.275
25.48,7.50,486.275
26.42,7.50,494.118
27.37,7.50,494.118
28.33,7.50,521.569
29.29,7.50,521.569
30.26,7.50,552.941
31.23,7.50,552.941
32.21,7.50,568.627
33.25,7.91,568.627
34.20,7.50,564.706
35.15,7.50,564.706
36.13,7.50,545.098
37.11,7.50,545.098
38.09,7.50,517.647
39.08,6.50,517.647
40.07,5.50,482.353
41.06,4.50,482.353
42.05,3.50,454.902
43.04,2.50,454.902
44.03,1.50,443.137
62.95,1.50,643.137
61.95,2.50,643.137
60.95,3.50,600
59.96,4.50,600
58.96,5.50,568.627
57.96,6.50,568.627
56.96,7.50,545.098
55.96,8.50,545.098
54.96,8.50,521.569
53.97,8.50,521.569
52.97,8.50,486.275
51.97,9.19,486.275
50.97,8.50,454.902
49.98,8.50,454.902
48.98,8.50,439.216
47.98,8.50,439.216
46.98,8.50,431.373
45.99,8.50,431.373
44.99,8.50,419.608
43.99,8.50,419.608
42.99,8.50,396.078
41.99,8.50,396.078
41.00,8.50,376.471
40.00,8.50,376.471
39.00,8.50,364.706
38.01,9.19,364.706
37.01,8.50,368.627
36.02,8.50,368.627
35.03,8.32,372.549
34.03,6.95,372.549
