Euclidean distance to entrance (meter),Euclidean distance to source of daylight (meter),CO2 Levels in PPM * 0.001
65.34,9.50,470.588
65.32,10.50,470.588
42.92,8.00,392.157
42.44,7.00,384.314
42.06,6.00,384.314
41.73,5.00,380.392
41.48,4.00,380.392
41.29,3.00,372.549
41.26,2.00,372.549
3.53,1.00,509.804
3.72,2.00,509.804
4.14,3.00,545.098
4.70,4.00,545.098
5.40,5.00,584.314
6.19,6.00,584.314
7.04,7.00,619.608
7.92,8.00,619.608
46.19,10.50,643.137
46.21,9.50,600
46.40,8.50,600
46.66,7.50,549.02
46.98,6.50,549.02
47.36,5.50,509.804
47.80,4.50,509.804
48.29,3.50,474.51
48.83,2.50,474.51
49.44,1.50,435.294
69.60,1.50,501.961
68.94,2.50,501.961
68.29,3.50,482.353
66.84,7.50,466.667
66.60,8.50,466.667
66.42,9.50,450.98
66.31,10.50,450.98
43.99,8.00,427.451
43.48,7.00,415.686
43.11,6.00,415.686
42.80,5.00,407.843
42.55,4.00,407.843
42.37,3.00,400
42.26,2.00,400
2.52,1.00,498.039
2.77,2.00,498.039
3.28,3.00,537.255
3.99,4.00,537.255
4.81,5.00,572.549
5.68,6.00,572.549
6.59,7.00,611.765
7.52,8.00,611.765
47.18,10.50,639.216
47.24,9.50,600
47.42,8.50,600
47.68,7.50,545.098
49.16,3.50,466.667
49.73,2.50,466.667
50.35,1.50,423.529
69.10,1.50,501.961
68.54,2.50,501.961
68.22,3.50,482.353
66.85,7.52,466.667
66.54,8.63,466.667
66.39,9.62,450.98
66.30,10.61,450.98
43.72,8.00,427.451
43.27,7.00,415.686
42.96,6.00,415.686
42.69,5.00,407.843
42.48,4.00,407.843
42.33,3.00,400
42.25,2.00,400
1.52,1.00,498.039
1.87,2.00,498.039
2.59,3.00,537.255
3.44,4.00,537.255
4.35,5.00,572.549
5.29,6.00,572.549
6.25,7.00,611.765
7.21,8.00,611.765
47.44,10.50,639.216
47.57,9.50,600
47.71,8.50,600
48.04,7.50,545.098
49.32,3.50,466.667
49.67,2.50,466.667
50.23,1.50,423.529
68.21,1.50,505.882
67.65,2.50,505.882
67.17,3.50,482.353
65.73,7.50,450.98
65.49,8.50,450.98
65.32,9.50,431.373
65.31,10.50,431.373
42.73,8.00,462.745
42.29,7.00,450.98
41.95,6.00,450.98
41.66,5.00,439.216
41.43,4.00,439.216
41.27,3.00,427.451
41.26,2.00,427.451
0.50,1.00,490.196
1.20,2.00,490.196
2.11,3.00,521.569
3.08,4.00,521.569
4.06,5.00,556.863
5.04,6.00,556.863
6.03,7.00,592.157
7.03,8.00,592.157
46.41,10.61,639.216
46.42,9.62,600
46.59,8.63,600
46.83,7.52,552.941
48.27,3.50,474.51
48.75,2.50,474.51
49.31,1.50,431.373
67.38,1.50,505.882
66.79,2.50,505.882
66.28,3.50,482.353
65.82,4.50,482.353
65.41,5.50,466.667
65.05,6.50,466.667
64.75,7.50,450.98
64.50,8.50,450.98
64.33,9.50,431.373
64.31,10.50,431.373
41.81,8.00,462.745
41.36,7.00,450.98
41.00,6.00,450.98
40.69,5.00,439.216
40.45,4.00,439.216
40.27,3.00,427.451
40.26,2.00,427.451
0.50,1.00,490.196
1.20,2.00,490.196
2.11,3.00,521.569
3.08,4.00,521.569
4.06,5.00,556.863
5.04,6.00,556.863
6.03,7.00,592.157
7.03,8.00,592.157
45.41,10.50,639.216
45.43,9.50,600
45.60,8.50,600
45.85,7.50,552.941
46.15,6.50,552.941
46.51,5.50,509.804
46.92,4.50,509.804
47.38,3.50,474.51
47.89,2.50,474.51
48.48,1.50,431.373
66.56,1.50,525.49
65.95,2.50,525.49
65.41,3.50,494.118
64.92,4.50,494.118
64.49,5.50,462.745
64.10,6.50,462.745
63.78,7.50,435.294
63.52,8.50,435.294
63.33,9.50,419.608
63.31,10.50,419.608
40.91,8.00,490.196
40.43,7.00,474.51
40.05,6.00,474.51
39.73,5.00,458.824
39.47,4.00,458.824
39.28,3.00,443.137
39.26,2.00,443.137
1.52,1.00,486.275
1.87,2.00,486.275
2.59,3.00,513.725
3.44,4.00,513.725
4.35,5.00,545.098
5.29,6.00,545.098
6.25,7.00,580.392
7.21,8.00,580.392
44.41,10.50,631.373
44.43,9.50,600
44.62,8.50,600
44.88,7.50,560.784
45.21,6.50,560.784
45.59,5.50,517.647
46.02,4.50,517.647
46.51,3.50,482.353
47.05,2.50,482.353
47.66,1.50,431.373
65.78,1.50,525.49
65.13,2.50,525.49
64.55,3.50,494.118
64.03,4.50,494.118
63.57,5.50,462.745
63.17,6.50,462.745
62.82,7.50,435.294
62.54,8.50,435.294
62.34,9.50,419.608
62.31,10.50,419.608
40.02,8.00,490.196
39.52,7.00,474.51
39.11,6.00,474.51
38.77,5.00,458.824
38.49,4.00,458.824
38.29,3.00,443.137
38.25,2.00,443.137
2.52,1.00,486.275
2.77,2.00,486.275
3.28,3.00,513.725
3.99,4.00,513.725
4.81,5.00,545.098
5.68,6.00,545.098
6.59,7.00,580.392
7.52,8.00,580.392
43.41,10.50,631.373
43.44,9.50,600
43.65,8.50,600
43.92,7.50,560.784
44.27,6.50,560.784
44.67,5.50,517.647
45.14,4.50,517.647
45.65,3.50,482.353
46.23,2.50,482.353
46.88,1.50,431.373
65.04,1.50,549.02
64.34,2.50,549.02
63.72,3.50,517.647
63.17,4.50,517.647
62.67,5.50,474.51
62.24,6.50,474.51
61.87,7.50,439.216
61.57,8.50,439.216
61.35,9.50,427.451
61.30,10.50,427.451
39.14,8.00,501.961
38.61,7.00,482.353
38.18,6.00,482.353
37.81,5.00,462.745
37.52,4.00,462.745
37.29,3.00,443.137
37.25,2.00,443.137
3.53,1.00,498.039
3.72,2.00,498.039
4.14,3.00,513.725
4.70,4.00,513.725
5.40,5.00,549.02
6.19,6.00,549.02
7.04,7.00,584.314
7.92,8.00,584.314
42.41,10.50,619.608
42.45,9.50,596.078
42.67,8.50,596.078
42.97,7.50,556.863
43.34,6.50,556.863
43.77,5.50,513.725
44.27,4.50,513.725
44.82,3.50,470.588
45.45,2.50,470.588
46.15,1.50,419.608
64.36,1.50,549.02
63.61,2.50,549.02
62.93,3.50,517.647
62.32,4.50,517.647
61.79,5.50,474.51
61.32,6.50,474.51
60.92,7.50,439.216
60.60,8.50,439.216
60.36,9.50,427.451
60.30,10.50,427.451
38.29,8.00,501.961
37.73,7.00,482.353
37.27,6.00,482.353
36.87,5.00,462.745
36.55,4.00,462.745
36.30,3.00,443.137
36.25,2.00,443.137
4.54,1.00,498.039
4.68,2.00,498.039
5.05,3.00,513.725
5.53,4.00,513.725
6.11,5.00,549.02
6.81,6.00,549.02
7.59,7.00,584.314
8.42,8.00,584.314
41.40,10.50,619.608
41.46,9.50,596.078
41.70,8.50,596.078
42.02,7.50,556.863
42.42,6.50,556.863
42.89,5.50,513.725
43.42,4.50,513.725
44.03,3.50,470.588
44.71,2.50,470.588
45.46,1.50,419.608
63.72,1.50,576.471
62.93,2.50,576.471
62.19,3.50,549.02
61.52,4.50,549.02
60.93,5.50,505.882
60.42,6.50,505.882
59.99,7.50,470.588
59.63,8.50,470.588
59.37,9.50,458.824
59.30,10.50,458.824
37.48,8.00,509.804
36.87,7.00,490.196
36.36,6.00,490.196
35.93,5.00,466.667
35.58,4.00,466.667
35.32,3.00,443.137
35.24,2.00,443.137
5.54,1.00,513.725
5.66,2.00,513.725
5.98,3.00,521.569
6.41,4.00,521.569
6.92,5.00,549.02
7.53,6.00,549.02
8.22,7.00,584.314
9.00,8.00,584.314
40.40,10.50,619.608
40.47,9.50,596.078
40.73,8.50,596.078
41.09,7.50,556.863
41.52,6.50,556.863
42.03,5.50,505.882
42.62,4.50,505.882
43.30,3.50,462.745
44.04,2.50,462.745
44.83,1.50,415.686
63.17,1.50,576.471
62.31,2.50,576.471
61.52,3.50,549.02
60.78,4.50,549.02
60.11,5.50,505.882
59.54,6.50,505.882
59.06,7.50,470.588
58.68,8.50,470.588
58.39,9.50,458.824
58.29,10.50,458.824
36.74,8.00,509.804
36.05,7.00,490.196
35.48,6.00,490.196
35.01,5.00,466.667
34.62,4.00,466.667
34.33,3.00,443.137
34.24,2.00,443.137
6.55,1.00,513.725
6.64,2.00,513.725
6.93,3.00,521.569
7.31,4.00,521.569
7.78,5.00,549.02
8.32,6.00,549.02
8.94,7.00,584.314
9.65,8.00,584.314
39.39,10.50,619.608
39.49,9.50,596.078
39.78,8.50,596.078
40.16,7.50,556.863
40.64,6.50,556.863
41.21,5.50,505.882
41.88,4.50,505.882
42.63,3.50,462.745
43.42,2.50,462.745
44.27,1.50,415.686
62.77,1.50,603.922
61.83,2.50,603.922
60.93,3.50,580.392
60.12,4.50,580.392
59.36,5.50,537.255
58.70,6.50,537.255
58.16,7.50,505.882
57.73,8.50,505.882
57.40,9.50,490.196
57.29,10.50,490.196
36.08,8.00,521.569
35.31,7.00,505.882
34.64,6.00,505.882
34.10,5.00,486.275
33.68,4.00,486.275
33.35,3.00,462.745
33.24,2.00,462.745
7.55,1.00,517.647
7.62,2.00,517.647
7.89,3.00,521.569
8.24,4.00,521.569
8.67,5.00,541.176
9.16,6.00,541.176
9.73,7.00,572.549
10.38,8.00,572.549
38.39,10.50,619.608
38.51,9.50,600
38.83,8.50,600
39.26,7.50,560.784
39.80,6.50,560.784
40.47,5.50,513.725
41.22,4.50,513.725
42.03,3.50,466.667
42.93,2.50,466.667
43.87,1.50,419.608
62.53,1.50,603.922
61.52,2.50,603.922
60.53,3.50,580.392
59.57,4.50,580.392
58.71,5.50,537.255
57.95,6.50,537.255
57.29,7.50,505.882
56.80,8.50,505.882
56.43,9.50,490.196
56.28,10.50,490.196
35.49,8.00,521.569
34.67,7.00,505.882
33.90,6.00,505.882
33.24,5.00,486.275
32.74,4.00,486.275
32.38,3.00,462.745
32.23,2.00,462.745
8.55,1.00,517.647
8.61,2.00,517.647
8.85,3.00,521.569
9.17,4.00,521.569
9.57,5.00,541.176
10.03,6.00,541.176
10.55,7.00,572.549
11.16,8.00,572.549
37.38,10.50,619.608
37.53,9.50,600
37.90,8.50,600
38.40,7.50,560.784
39.05,6.50,560.784
39.82,5.50,513.725
40.68,4.50,513.725
41.63,3.50,466.667
42.62,2.50,466.667
43.63,1.50,419.608
62.55,1.50,631.373
61.47,2.50,631.373
60.40,3.50,600
59.36,4.50,600
58.36,5.50,560.784
57.32,6.50,560.784
56.54,7.50,529.412
55.90,8.50,529.412
55.46,9.50,513.725
55.28,10.50,513.725
34.97,8.00,533.333
34.10,7.00,513.725
33.27,6.00,513.725
32.49,5.00,494.118
31.85,4.00,494.118
31.41,3.00,470.588
31.22,2.00,470.588
9.56,1.00,525.49
9.60,2.00,525.49
9.82,3.00,525.49
10.12,4.00,525.49
10.49,5.00,541.176
10.92,6.00,541.176
11.41,7.00,564.706
11.98,8.00,564.706
36.38,10.50,607.843
36.57,9.50,600
37.00,8.50,600
37.64,7.50,572.549
38.42,6.50,572.549
39.47,5.50,525.49
40.47,4.50,525.49
41.50,3.50,482.353
42.57,2.50,482.353
43.65,1.50,435.294
62.33,1.50,631.373
61.78,2.50,631.373
61.48,3.50,600
55.91,7.50,529.412
55.12,8.50,529.412
54.52,9.50,513.725
54.27,10.50,513.725
34.53,8.00,533.333
33.62,7.00,513.725
32.73,6.00,513.725
31.87,5.00,494.118
31.07,4.00,494.118
30.47,3.00,470.588
30.22,2.00,470.588
10.56,1.00,525.49
10.59,2.00,525.49
10.80,3.00,525.49
11.07,4.00,525.49
11.42,5.00,541.176
11.82,6.00,541.176
12.28,7.00,564.706
12.83,8.00,564.706
35.37,10.50,607.843
35.62,9.50,600
36.22,8.50,600
37.02,7.50,572.549
42.60,3.50,482.353
42.90,2.50,482.353
43.45,1.50,435.294
61.53,1.50,643.137
60.71,2.50,643.137
60.26,3.50,603.922
55.41,7.91,537.255
54.53,9.19,537.255
53.71,9.62,529.412
53.26,10.61,529.412
34.19,8.00,525.49
33.24,7.00,501.961
32.29,6.00,501.961
31.37,5.00,482.353
30.48,4.00,482.353
29.66,3.00,462.745
29.21,2.00,462.745
11.56,1.00,541.176
11.59,2.00,541.176
11.78,3.00,552.941
12.03,4.00,552.941
12.36,5.00,560.784
12.74,6.00,560.784
13.17,7.00,568.627
13.69,8.00,568.627
34.36,10.61,588.235
34.81,9.62,588.235
35.63,9.19,588.235
36.52,7.91,568.627
41.37,3.50,490.196
41.83,2.50,490.196
42.65,1.50,443.137
61.11,1.50,643.137
60.17,2.50,643.137
59.30,3.50,603.922
55.06,7.50,537.255
54.10,8.50,537.255
53.17,9.50,529.412
52.29,10.50,529.412
33.96,8.14,525.49
32.98,7.02,501.961
31.99,6.02,501.961
31.02,5.02,482.353
30.06,4.03,482.353
29.12,3.04,462.745
28.24,2.06,462.745
12.55,1.12,541.176
12.58,2.06,541.176
12.76,3.04,552.941
13.00,4.03,552.941
13.30,5.02,560.784
13.66,6.02,560.784
14.07,7.02,568.627
14.55,8.14,568.627
33.39,10.50,588.235
34.27,9.50,588.235
35.21,8.50,588.235
36.17,7.50,568.627
40.42,3.50,490.196
41.29,2.50,490.196
42.23,1.50,443.137
60.90,1.50,631.373
59.90,2.50,631.373
58.91,3.50,592.157
57.94,4.50,592.157
56.96,5.50,564.706
55.90,6.50,564.706
54.89,7.50,549.02
53.90,8.50,549.02
52.90,9.50,549.02
51.91,10.50,549.02
50.94,10.50,552.941
49.96,10.61,552.941
48.95,10.50,549.02
47.95,10.50,549.02
46.95,10.50,541.176
45.95,10.50,541.176
44.95,10.50,537.255
43.95,10.50,537.255
42.95,10.50,549.02
41.95,10.50,549.02
40.95,10.50,560.784
39.95,10.50,560.784
38.95,10.50,549.02
37.95,10.50,549.02
36.95,10.50,525.49
35.94,10.11,525.49
34.88,9.12,501.961
33.87,8.14,501.961
32.87,7.16,486.275
31.87,6.18,486.275
30.87,5.22,474.51
29.87,4.27,474.51
28.87,3.35,458.824
27.88,2.50,458.824
26.89,1.80,447.059
25.91,1.50,447.059
24.91,1.50,458.824
23.91,1.50,458.824
22.90,1.50,482.353
21.90,1.50,482.353
20.90,1.50,505.882
19.89,1.50,505.882
18.89,1.50,513.725
17.88,1.50,513.725
16.88,1.50,513.725
15.87,1.50,513.725
14.86,1.50,525.49
13.89,1.50,525.49
13.53,1.80,545.098
13.57,2.50,545.098
13.74,3.35,568.627
13.97,4.27,568.627
14.25,5.22,580.392
14.59,6.18,580.392
14.98,7.16,584.314
15.42,8.14,584.314
15.99,9.12,592.157
17.00,10.11,592.157
18.02,10.50,600
19.02,10.50,600
20.03,10.50,615.686
21.04,10.50,615.686
22.04,10.50,627.451
23.04,10.50,627.451
24.05,10.50,623.529
25.05,10.50,623.529
26.05,10.50,600
27.05,10.50,600
28.06,10.50,572.549
29.06,10.50,572.549
30.06,10.50,560.784
31.06,10.61,560.784
32.05,10.50,564.706
33.03,10.50,564.706
34.02,9.50,564.706
35.02,8.50,564.706
36.02,7.50,545.098
37.02,6.50,545.098
38.08,5.50,513.725
39.06,4.50,513.725
40.04,3.50,478.431
41.03,2.50,478.431
42.03,1.50,435.294
60.89,1.50,631.373
59.89,2.50,631.373
58.89,3.50,592.157
57.89,4.50,592.157
56.90,5.50,564.706
55.90,6.50,564.706
54.90,7.50,549.02
53.90,8.50,549.02
52.90,9.50,549.02
51.90,9.50,549.02
50.90,9.50,552.941
49.90,9.62,552.941
48.90,9.50,549.02
47.90,9.50,549.02
46.90,9.50,541.176
45.90,9.50,541.176
44.90,9.50,537.255
43.90,9.50,537.255
42.91,9.50,549.02
41.91,9.50,549.02
40.91,9.50,560.784
39.91,9.50,560.784
38.91,9.50,549.02
37.91,9.50,549.02
36.91,9.50,525.49
35.91,9.62,525.49
34.91,9.50,501.961
33.91,8.38,501.961
32.91,7.43,486.275
31.91,6.50,486.275
30.91,5.59,474.51
29.91,4.72,474.51
28.91,3.91,458.824
27.92,3.20,458.824
26.92,2.69,447.059
25.92,2.50,447.059
24.93,2.50,458.824
23.94,2.50,458.824
22.95,2.50,482.353
21.96,2.50,482.353
20.97,2.50,505.882
19.98,2.50,505.882
19.00,2.50,513.725
18.03,2.50,513.725
17.06,2.50,513.725
16.12,2.50,513.725
15.31,2.50,525.49
14.77,2.50,525.49
14.53,2.69,545.098
14.57,3.20,545.098
14.73,3.91,568.627
14.94,4.72,568.627
15.21,5.59,580.392
15.53,6.50,580.392
15.90,7.43,584.314
16.32,8.38,584.314
16.80,9.50,592.157
17.42,9.62,592.157
18.24,9.50,600
19.19,9.50,600
20.16,9.50,615.686
21.14,9.50,615.686
22.12,9.50,627.451
23.11,9.50,627.451
24.10,9.50,623.529
25.09,9.50,623.529
26.08,9.50,600
27.07,9.50,600
28.07,9.50,572.549
29.06,9.50,572.549
30.06,9.50,560.784
31.05,9.62,560.784
32.05,9.50,564.706
33.05,9.50,564.706
34.05,9.50,564.706
35.04,8.50,564.706
36.04,7.50,545.098
37.04,6.50,545.098
38.04,5.50,513.725
39.04,4.50,513.725
40.04,3.50,478.431
41.04,2.50,478.431
42.04,1.50,435.294
60.94,1.50,611.765
59.95,2.50,611.765
58.95,3.50,588.235
57.95,4.50,588.235
56.95,5.50,576.471
55.95,6.50,576.471
54.95,7.50,576.471
53.96,8.50,576.471
52.96,8.50,576.471
51.96,8.50,576.471
50.96,8.50,580.392
49.97,9.19,580.392
48.97,8.50,572.549
47.97,8.50,572.549
46.97,8.50,560.784
45.98,8.50,560.784
44.98,8.50,549.02
43.98,8.50,549.02
42.98,8.50,541.176
41.98,8.50,541.176
40.99,8.50,533.333
39.99,8.50,533.333
38.99,8.50,513.725
37.99,8.50,513.725
37.00,8.50,486.275
36.00,9.19,486.275
35.00,8.50,478.431
34.01,8.50,478.431
33.02,8.32,482.353
32.03,6.95,482.353
31.04,6.10,482.353
30.05,5.32,482.353
29.06,4.61,474.51
28.07,4.03,474.51
27.09,3.64,466.667
26.10,3.50,466.667
25.12,3.50,474.51
24.14,3.50,474.51
23.17,3.50,498.039
22.20,3.50,498.039
21.23,3.50,517.647
20.27,3.50,517.647
19.33,3.50,513.725
18.40,3.50,513.725
17.50,3.50,505.882
16.72,3.50,505.882
16.13,3.50,513.725
15.71,3.50,513.725
15.53,3.64,533.333
15.57,4.03,533.333
15.71,4.61,564.706
15.92,5.32,564.706
16.17,6.10,580.392
16.48,6.95,580.392
16.83,8.32,588.235
17.23,8.50,588.235
17.68,8.50,596.078
18.20,9.19,596.078
18.83,8.50,600
19.61,8.50,600
20.51,8.50,611.765
21.44,8.50,611.765
22.40,8.50,619.608
23.36,8.50,619.608
24.33,8.50,611.765
25.30,8.50,611.765
26.28,8.50,588.235
27.26,8.50,588.235
28.24,8.50,560.784
29.22,8.50,560.784
30.21,8.50,552.941
31.20,9.19,552.941
32.19,8.50,552.941
33.18,8.50,552.941
34.17,8.50,545.098
35.16,8.50,545.098
36.15,7.50,517.647
37.15,6.50,517.647
38.14,5.50,486.275
39.13,4.50,486.275
40.13,3.50,454.902
41.12,2.50,454.902
42.12,1.50,419.608
61.02,1.50,611.765
60.02,2.50,611.765
59.03,3.50,588.235
58.03,4.50,588.235
57.03,5.50,576.471
56.04,6.50,576.471
55.05,7.50,576.471
54.05,7.50,576.471
53.06,7.50,576.471
52.08,7.50,576.471
51.11,7.50,580.392
50.14,7.91,580.392
49.07,7.50,572.549
48.06,7.50,572.549
47.07,7.50,560.784
46.07,7.50,560.784
45.08,7.50,549.02
44.08,7.50,549.02
43.09,7.50,541.176
42.09,7.50,541.176
41.10,7.50,533.333
40.11,7.50,533.333
39.12,7.50,513.725
38.14,7.50,513.725
37.19,7.50,486.275
36.22,7.91,486.275
35.17,7.50,478.431
34.17,7.50,478.431
33.19,7.50,482.353
32.20,7.50,482.353
31.22,6.73,482.353
30.24,6.02,482.353
29.27,5.41,474.51
28.30,4.92,474.51
27.36,4.61,466.667
26.41,4.50,466.667
25.39,4.50,474.51
24.42,4.50,474.51
23.47,4.50,498.039
22.52,4.50,498.039
21.58,4.50,517.647
20.66,4.50,517.647
19.76,4.50,513.725
18.89,4.50,513.725
18.14,4.50,505.882
17.52,4.50,505.882
17.02,4.50,513.725
16.67,4.50,513.725
16.53,4.61,533.333
16.57,4.92,533.333
16.70,5.41,564.706
16.90,6.02,564.706
17.14,6.73,580.392
17.43,7.50,580.392
17.77,7.50,588.235
18.15,7.50,588.235
18.57,7.50,596.078
19.05,7.91,596.078
19.61,7.50,600
20.25,7.50,600
21.00,7.50,611.765
21.85,7.50,611.765
22.76,7.50,619.608
23.69,7.50,619.608
24.64,7.50,611.765
25.59,7.50,611.765
26.54,7.50,588.235
27.51,7.50,588.235
28.47,7.50,560.784
29.45,7.50,560.784
30.43,7.50,552.941
31.47,7.91,552.941
32.42,7.50,552.941
33.37,7.50,552.941
34.35,7.50,545.098
35.33,7.50,545.098
36.31,7.50,517.647
37.30,6.50,517.647
38.29,5.50,486.275
39.28,4.50,486.275
40.26,3.50,454.902
41.26,2.50,454.902
42.25,1.50,419.608
61.14,1.50,600
60.15,2.50,600
59.16,3.50,588.235
58.18,4.50,588.235
57.19,5.50,588.235
56.21,6.50,588.235
55.24,6.50,596.078
54.29,6.50,596.078
53.35,6.50,600
52.49,6.50,600
48.19,6.50,584.314
47.20,6.50,564.706
46.22,6.50,564.706
45.23,6.50,549.02
44.25,6.50,549.02
43.27,6.50,529.412
42.29,6.50,529.412
41.32,6.50,498.039
40.36,6.50,498.039
39.43,6.50,470.588
38.57,6.50,470.588
34.39,6.50,458.824
33.42,6.50,470.588
32.45,6.50,470.588
31.49,6.50,478.431
30.54,6.50,478.431
29.61,6.26,478.431
28.76,5.85,478.431
24.76,5.50,490.196
23.84,5.50,509.804
22.92,5.50,509.804
22.01,5.50,521.569
21.13,5.50,521.569
20.30,5.50,513.725
19.55,5.50,513.725
18.92,5.50,505.882
17.53,5.59,529.412
17.57,5.85,529.412
17.69,6.26,556.863
17.88,6.50,556.863
18.11,6.50,576.471
18.39,6.50,576.471
18.71,6.50,592.157
19.08,6.50,592.157
21.02,6.50,600
21.67,6.50,607.843
22.40,6.50,607.843
23.23,6.50,607.843
24.11,6.50,607.843
25.02,6.50,596.078
25.94,6.50,596.078
26.88,6.50,572.549
27.82,6.50,572.549
28.77,6.50,552.941
29.72,6.50,552.941
33.82,6.50,537.255
34.67,6.50,521.569
35.60,6.50,521.569
36.56,6.50,486.275
37.52,6.50,486.275
38.50,5.50,454.902
39.47,4.50,454.902
40.45,3.50,431.373
41.43,2.50,431.373
42.41,1.50,403.922
61.33,1.50,600
60.35,2.50,600
59.38,3.50,588.235
58.42,4.50,588.235
57.46,5.50,588.235
56.52,5.50,588.235
55.60,5.50,596.078
54.72,5.50,596.078
53.93,5.50,600
53.45,5.50,600
48.38,5.50,584.314
47.41,5.50,564.706
46.43,5.50,564.706
45.46,5.50,549.02
44.50,5.50,549.02
43.54,5.50,529.412
42.60,5.50,529.412
41.68,5.50,498.039
40.80,5.50,498.039
40.00,5.50,470.588
39.54,5.50,470.588
34.67,5.50,458.824
33.73,5.50,470.588
32.79,5.50,470.588
31.87,5.50,478.431
30.99,5.50,478.431
30.18,5.50,478.431
29.74,5.50,478.431
25.17,5.50,490.196
24.27,5.50,509.804
23.38,5.50,509.804
22.52,5.50,521.569
21.71,5.50,521.569
20.96,5.50,513.725
20.31,5.50,513.725
19.97,5.50,505.882
18.59,5.50,529.412
18.57,5.50,529.412
18.68,5.50,556.863
18.86,5.50,556.863
19.08,5.50,576.471
19.35,5.50,576.471
19.65,5.50,592.157
20.05,5.50,592.157
22.06,5.50,600
22.42,5.50,607.843
23.08,5.50,607.843
23.81,5.50,607.843
24.61,5.50,607.843
25.47,5.50,596.078
26.36,5.50,596.078
27.27,5.50,572.549
28.19,5.50,572.549
29.12,5.50,552.941
30.05,5.50,552.941
34.79,5.50,537.255
35.24,5.50,521.569
36.04,5.50,521.569
36.93,5.50,486.275
37.85,5.50,486.275
38.79,5.50,454.902
39.74,4.50,454.902
40.70,3.50,431.373
41.67,2.50,431.373
42.64,1.50,403.922
61.58,1.50,611.765
60.62,2.50,611.765
59.68,3.50,596.078
58.77,4.50,596.078
57.91,4.50,596.078
57.36,4.50,596.078
56.98,4.50,600
55.40,4.50,600
54.31,4.50,603.922
53.33,4.50,603.922
48.63,4.50,572.549
47.67,4.50,552.941
46.72,4.50,552.941
45.77,4.50,541.176
44.84,4.50,541.176
43.92,4.50,509.804
43.03,4.50,509.804
42.23,4.50,466.667
41.69,4.50,466.667
41.22,4.50,443.137
39.86,4.50,443.137
35.03,4.50,447.059
34.12,4.50,454.902
33.22,4.50,454.902
32.37,4.50,462.745
31.63,4.50,462.745
31.14,4.50,470.588
30.87,4.50,470.588
25.63,4.50,501.961
24.76,4.50,513.725
23.92,4.50,513.725
23.12,4.50,513.725
22.38,4.50,513.725
21.72,4.50,517.647
21.18,4.50,517.647
20.97,4.50,521.569
19.57,4.50,529.412
19.57,4.50,529.412
19.67,4.50,549.02
19.84,4.50,549.02
20.05,4.50,572.549
20.31,4.50,572.549
20.60,4.50,592.157
20.97,4.50,592.157
23.06,4.50,603.922
23.28,4.50,603.922
23.83,4.50,603.922
24.50,4.50,600
25.22,4.50,600
26.01,4.50,580.392
26.85,4.50,580.392
27.72,4.50,552.941
28.61,4.50,552.941
29.52,4.50,537.255
30.43,4.50,537.255
36.09,4.50,517.647
36.35,4.50,490.196
36.81,4.50,490.196
37.44,4.50,454.902
38.28,4.50,454.902
39.17,4.50,431.373
40.09,4.50,431.373
41.02,3.50,419.608
41.97,2.50,419.608
42.92,1.50,396.078
62.14,1.50,611.765
62.03,2.50,611.765
60.22,3.50,596.078
59.08,3.50,596.078
58.04,3.50,596.078
57.02,3.50,596.078
56.00,3.50,600
54.98,3.50,600
53.98,3.50,603.922
52.97,3.50,603.922
51.98,3.50,592.157
50.98,3.50,592.157
49.89,3.50,572.549
48.93,3.50,572.549
47.99,3.50,552.941
47.07,3.50,552.941
46.16,3.50,541.176
45.31,3.50,541.176
44.78,3.50,509.804
43.99,3.50,509.804
42.62,3.50,466.667
41.54,3.50,466.667
40.49,3.50,443.137
39.46,3.50,443.137
38.45,3.50,439.216
37.45,3.50,439.216
36.37,3.50,447.059
35.46,3.50,447.059
34.59,3.50,454.902
33.80,3.50,454.902
33.32,3.50,462.745
33.63,3.50,462.745
31.26,3.50,470.588
30.12,3.50,470.588
29.07,3.50,486.275
28.07,3.50,486.275
27.01,3.50,501.961
26.15,3.50,501.961
25.32,3.50,513.725
24.53,3.50,513.725
23.80,3.50,513.725
23.13,3.50,513.725
22.53,3.50,517.647
22.13,3.50,517.647
22.00,3.50,521.569
23.11,3.50,521.569
21.88,3.50,521.569
20.92,3.50,521.569
20.55,3.50,529.412
20.57,3.50,529.412
20.67,3.50,549.02
20.83,3.50,549.02
21.03,3.50,572.549
21.27,3.50,572.549
21.56,3.50,592.157
21.89,3.50,592.157
22.38,3.50,600
23.38,3.50,600
24.45,3.50,603.922
24.19,3.50,603.922
24.24,3.50,603.922
24.64,3.50,603.922
25.24,3.50,600
25.91,3.50,600
26.63,3.50,580.392
27.41,3.50,580.392
28.23,3.50,552.941
29.09,3.50,552.941
29.97,3.50,537.255
30.86,3.50,537.255
31.76,3.50,525.49
32.83,3.50,525.49
33.83,3.50,517.647
34.85,3.50,517.647
35.90,3.50,490.196
36.99,3.50,490.196
38.23,3.50,454.902
39.31,3.50,454.902
39.71,3.50,431.373
40.52,3.50,431.373
41.40,3.50,419.608
42.32,2.50,419.608
43.25,1.50,396.078
62.11,1.50,623.529
61.09,2.50,623.529
60.07,2.50,607.843
59.06,2.50,607.843
58.05,2.50,596.078
57.05,2.50,596.078
56.04,2.50,600
55.04,2.50,600
54.05,2.50,600
53.06,2.50,600
52.10,2.50,580.392
51.15,2.50,580.392
